Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS180315-03,2018/03/15,Aipysurus,foliosquama,Shark Bay,,,-25.676033,113.237383,-25.684892,113.238783,-25.693750,113.240183,,,16.10,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180315-04,2018/03/15,Aipysurus,foliosquama,Shark Bay,,,-25.676033,113.237383,-25.684892,113.238783,-25.693750,113.240183,,,16.10,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180316-03,2018/03/16,Aipysurus,foliosquama,Shark Bay,,,-25.610450,113.211117,-25.601400,113.211125,-25.592350,113.211133,,,16.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180318-02,2018/03/18,Aipysurus,foliosquama,Shark Bay,,,-24.882667,113.269100,-24.873925,113.272900,-24.865183,113.276700,,,20.30,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180507-02,2018/05/07,Aipysurus,foliosquama,Shark Bay,,,-25.148550,113.436467,-25.164567,113.436867,-25.180583,113.437267,,,17.00,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180507-03,2018/05/07,Aipysurus,foliosquama,Shark Bay,,,-25.202433,113.452300,-25.217342,113.452600,-25.232250,113.452900,,,16.00,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180610-01,2018/06/10,Aipysurus,foliosquama,Shark Bay,,,-25.704617,113.244117,-25.695350,113.241550,-25.686083,113.238983,,,16.40,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180610-02,2018/06/10,Aipysurus,foliosquama,Shark Bay,,,-25.561250,113.217933,-25.570142,113.220717,-25.579033,113.223500,,,17.70,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS180611-01,2018/06/11,Aipysurus,foliosquama,Shark Bay,,,-24.982917,113.287167,-24.973975,113.284567,-24.965033,113.281967,,,19.10,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS181104-01,2018/11/04,Aipysurus,foliosquama,Shark Bay,,,-25.259000,113.654700,-25.249950,113.651233,-25.240900,113.647767,,,13.20,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS181110-04,2018/11/10,Aipysurus,foliosquama,Shark Bay,,,-24.938917,113.300650,-24.928992,113.298992,-24.919067,113.297333,,,22.10,20,,,,,,,
